created,text,retwc,hashtag,followers,friends
2021-05-05 09:14:42,b'@JogetTitik @June_dya77 @jokowi Like this',0,None,42,80
2021-05-05 09:14:39,b'RT @L4dytyp0__: @Ya2nArifin @jokowi High Up \n\n#Kpk\xc4\xb0sDead\n#KPkIsDead',1,KpkİsDead,3578,3465
2021-05-05 09:14:03,b'@Ya2nArifin @jokowi High Up \n\n#Kpk\xc4\xb0sDead\n#KPkIsDead',1,KpkİsDead,3867,2425
2021-05-05 09:12:24,b'@L4dytyp0__ @jokowi Up up \xf0\x9f\x86\x99 \xf0\x9f\x86\x99 \n\n#Kpk\xc4\xb0sDead\n#Kpk\xc4\xb0sDead',0,KpkİsDead,3578,3465
2021-05-05 09:09:02,b'@Xp0se_ @msaid_didu @jokowi @KPK_RI Prett',0,None,5,29
2021-05-05 09:07:40,b'RT @Franciswood_9: These five main programs by the president of Jokowi I think already completely insert all the people aspirations https:/\xe2\x80\xa6',2,None,3,0
2021-05-05 09:02:47,"b'@TETO_Jakarta @jokowi Meanwhile, Mainland China: ............... who are you..........'",0,None,11,25
2021-05-05 08:53:51,"b'Jokowi, Sandiaga Uno Asked to Close Tourist Sites during Eid Holidays https://t.co/V8eEMDw4Bm'",0,None,234,831
2021-05-05 08:49:28,b'RT @Franciswood_9: These five main programs by the president of Jokowi I think already completely insert all the people aspirations https:/\xe2\x80\xa6',2,None,105,1519
2021-05-05 08:46:58,b'These five main programs by the president of Jokowi I think already completely insert all the people aspirations https://t.co/jBerCrfnDc',2,None,114,150
2021-05-05 08:42:44,b'RT @ScottMorrisonMP: Deepest sympathies to President @jokowi &amp; all our Indonesian friends on the loss of KRI Nanggala. A tragic reminder of\xe2\x80\xa6',155,None,222,1544
2021-05-05 08:27:54,"b'I will marrie with intan permata sari.\nSo come to my house in Lantak Mingkudu, Pariaman, Sumbar.\n@elonmusk\xe2\x80\xa6 https://t.co/ZmxUko4dHB'",0,None,19,214
2021-05-05 08:21:29,b'Love the Jokowi thing. \xf0\x9f\x98\x86\xf0\x9f\x98\x82 https://t.co/JcQoTsuolP',0,None,1255,592
2021-05-05 08:09:44,b'@PMandaliko @hipohan @jokowi Betul',0,None,1126,1166
2021-05-05 08:00:21,b'RT @Jelantik5: @morelli1__ @joseph__99 @UN_HRC @UN_SPExperts @OHCHRAsia @Puspen_TNI @binofficial_ri @BNPTRI @KomnasHAM @komnas_anak @Reuter\xe2\x80\xa6',3,None,5183,4003
2021-05-05 07:55:23,b'RT @AgungFa45810356: data...output...outcome...\n@jokowi @halimiskandarnu @taufikmadjid71 @fachrilabalado @EfendiMashor @tppkemendes https:/\xe2\x80\xa6',8,None,495,1036
2021-05-05 07:49:55,b'MONEV\nCOVID 19\n\n@jokowi \n@halimiskandarnu \n@malik_haramain\n@imansyukri\n@taufikmadjid71\n@yusradaridesa\xe2\x80\xa6 https://t.co/8Bxnc6dmrM',0,None,191,35
2021-05-05 07:46:24,b'@Xp0se_ @jokowi @KPK_RI Bacooooot',0,None,110,327
2021-05-05 07:40:28,"b'#PeasantsRiseUp Episode 2: Indonesia In Focus (Petani Bersuara, Petani Menuntut)\n\nWhat are the conditions of women\xe2\x80\xa6 https://t.co/ihXpACXCox'",0,PeasantsRiseUp,1826,904
2021-05-05 07:27:46,"b""Jokowi Pushes for Swallow's Nest, Porang Cultivation https://t.co/lTXbQVkjg1""",0,None,31478,47
2021-05-05 07:26:29,b'RT @PapuaWeb: SBS World News 29/04/21.The Indonesian govt is engaging in a war with the colonized peoples of West Papua. We urgently need U\xe2\x80\xa6',22,None,316,360
2021-05-05 06:52:26,b'#GusMenteri\n\nMention ke:\n@jokowi \n@halimiskandarnu \n@malik_haramain\n@imansyukri\n@taufikmadjid71\n@yusradaridesa\xe2\x80\xa6 https://t.co/vgUEC36Epe',0,GusMenteri,7,30
2021-05-05 06:44:21,b'@Xp0se_ @msaid_didu @jokowi @KPK_RI Wong mencla mencle\xf0\x9f\x92\xa9',0,None,172,189
2021-05-05 06:43:10,"b'@Greenpeace And also their neighbor, Indonesia. The master of hypocrite that love to suck some carbon trading money\xe2\x80\xa6 https://t.co/YjT59yCd19'",0,None,58,93
2021-05-05 06:34:15,b'@DoveSwap This is good project sir\n@jokowi \n@prabowo \n@kaesangp \n\n#DOVE #BNB',0,DOVE,2,88
2021-05-05 06:33:38,"b""@cn_riz Jokowi's problem requires jokowi's solution""",0,None,356,379
2021-05-05 06:27:59,"b'@janet_rice Since being chaired by President Jokowi, Papua has been very advanced compared to before and is still a\xe2\x80\xa6 https://t.co/lEeAZi4kSR'",0,None,0,8
2021-05-05 06:25:44,b'CoinAwesome is one-click tipping ANY website. I love it.  #giveaway  AaAkKSDKwcnbd5YJakKYEENRbcq5XXCCGR',0,giveaway,4,14
2021-05-05 06:23:26,b'We support People Defence Force\xe2\x9c\x8a#NUG #CRPH #May5Coup #WhatsHappeningInMyanmar @UN @USEmbassyBurma @ASEAN\xe2\x80\xa6 https://t.co/vy2m6GbxrK',0,NUG,189,833
2021-05-05 06:11:19,b'@FerdinandHaean3 @jokowi oke bencong https://t.co/sJMwYwtOhZ',0,None,32,553
2021-05-05 06:10:44,b'CoinAwesome is one-click tipping ANY website. I love it.  #giveaway AdzrdP6hqXuPt2djnVWx7QzwAjyjSCRAYA',0,giveaway,12,9
2021-05-05 06:09:28,"b""@IBRAHIMCruise Mr. Ganjar Pranowo, the next Jokowi's generation as a President.... no one else...!!!""",0,None,1120,1528
2021-05-05 06:05:48,"b'@agungsena17 @jokowi Is true, there are (also) weasel in sheep clothing,,,\nFck the traitor Nation \xf0\x9f\x98\xa0'",0,None,8771,2219
2021-05-05 06:01:41,"b""RT @agungsena17: @Jelantik5 @jokowi He's working on this, but as you knew it already, it's not easy as flipping hand on other side or just\xe2\x80\xa6""",1,None,8771,2219
2021-05-05 05:54:27,"b""@Jelantik5 @jokowi He's working on this, but as you knew it already, it's not easy as flipping hand on other side o\xe2\x80\xa6 https://t.co/GMcB2RMGEb""",1,None,35,218
2021-05-05 05:51:26,b'@agungsena17 My expectation is to Mr. President @jokowi use his power to act and fight for the (our) Nation\n\n#Humanity #PoliticalViolence',0,Humanity,8771,2219
