title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Pesan Natal Presiden Jokowi: Jadikan Momentum Tumbuhnya Kesadaran Menjaga Sesama,pdhCNVXed20,3474,82,17,19,0
Gaya Para Menteri Baru Jokowi di Pengumuman Reshuffle Kabinet,xnls6JpJbWw,137940,719,201,596,0
"Reshuffle Kabinet Jokowi, Oposisi Mati Suri - Opini Budiman",E_INNLYBSz0,65268,629,98,258,0
"Tuntut Presiden Jokowi Mundur, Siapakah Sebenarnya Sosok Dibalik Eks Anggota TNI Ruslan Buton?",_iEka4n_kxE,10106265,58236,17751,24353,0
"Menteri Baru Jokowi Ternyata Masih Menuai Pro dan Kontra, Ini Penjelasannya",yeP1DNCwaME,113572,681,142,283,0
Presiden Jokowi Segera Rombak Kabinet?,Wi2W-PSwS5Y,70886,694,115,369,0
Mengenal Lima Wakil Menteri yang Dilantik Presiden Jokowi,pqzsxRfi9Pk,97394,571,134,83,0
"DEMI PRESIDEN JOKOWI, BU RISMA LAKUKAN INI",xPlZxsp_xfY,3507,525,9,105,0
Jokowi Reshuffle Kabinet! Risma dan Sandi Masuk 6 Nama Calon Menteri,5GBs8vwGv8w,91256,692,62,206,0
"Jokowi Rombak Kabinet, Tenaga Ahli KSP: Ini Jadi Pencerahan Baru",treFnUvUyY4,61659,609,143,188,0
Berapa Kekayaan Presiden Jokowi Saat Ini?,lxQmlXD6640,79849,436,117,275,0
"Reshuffle Kabinet, Ini Daftar Menteri Baru Jokowi",DUvxrSe8vJc,324182,3559,488,1613,0
"Ini Dia 6 Menteri Baru Kabinet Jokowi-Ma&#39;ruf Amin, Ada Bu Risma &amp; Sandiaga Uno",uLcFce8Fyn4,190650,1786,376,821,0
"Ariyanto, Pencolek Presiden Jokowi Diundang ke Istana",xNWYOOZPrCA,3750061,25420,2125,1753,0
BREAKING NEWS - Presiden Jokowi Lantik 6 Menteri Baru &amp; Wakil Menteri,-FjLgfdnguc,113111,906,111,88,0
Jokowi Blusukan Bagikan Bahan Pokok ke Rumah Warga,gLWHTXKYwok,111373,1810,218,2443,0
"Jokowi Marahi Para Menteri Saat Sidang kabinet Paripurna, Apa Isinya?",HYgn3qd7lg8,4856621,59580,7439,16751,0
Detik-Detik Sapi Presiden Jokowi Disembelih di Solo,0aFO-9iyYTU,756496,2791,389,197,0
Joni Minta Sepeda &amp; Rumah ke Jokowi ; Cerita Joni Pada Presiden Jokowi Sebelum Panjat Tiang Bendera,uzr1S7YXITw,12666849,106723,5922,5414,0
Sah! Presiden Jokowi Umumkan Menteri Baru Kabinet Indonesia Maju,byfxbnRcy14,1015292,9730,656,3290,0
Presiden Jokowi Melantik Menteri dan Wakil Menteri Baru di Istana Negara,fdQAAJhEREw,118825,1187,148,197,0
Jokowi dan Filosofi Rabu,rDMe9Aio9HA,7668,104,40,29,0
"Isu Reshuffle Kian Menguat, Presiden Panggil Para Calon Menteri ke Istana?",ZlsjVSlUQCo,165623,1295,147,494,0
Sapi-Sapi Kurban Presiden Jokowi di Beberapa Daerah,2oG45o5XBlM,314151,2118,176,277,0
