username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Dhika Andriyana,167996358,2021-03-10 13:51:18,RT @karimnas_: Jakarta closer to rule of one party https://t.co/RRmOoeMM5b,188,None,292,146,0.0,0.0
Jeremy Maxie,729907170,2021-03-10 13:50:12,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,3359,4986,-0.2,0.35
Deborah Rupy,1924267014,2021-03-10 13:48:20,".@johnkerry, @ScottMorrisonMP, @JonathanWNV, @jokowi, @PrakashJavdekar, @SEMARNAT_mx, @mevpr, &amp; @JapanGov -- in the... https://t.co/hp4v5vGgrd",0,None,5,134,0.0,0.0
Andre 🇲🇨,1126389566619828224,2021-03-10 13:47:03,RT @Nana_Rosaa_: @_Andre_OJ_ @pengarang_sajak @ariel_heryanto @VeronicaKoman @benny_wenda @jokowi @PDemokrat @KomnasHAM @Kemlu_RI @Menlu_RI...,1,None,1035,596,0.0,0.0
Nana #StandBehindJokowi🇲🇨,1109068970638741504,2021-03-10 13:41:13,@_Andre_OJ_ @pengarang_sajak @ariel_heryanto @VeronicaKoman @benny_wenda @jokowi @PDemokrat @KomnasHAM @Kemlu_RI... https://t.co/n8yVb8U5me,1,None,8570,2441,0.0,0.0
Natalie Sambhi,187289213,2021-03-10 13:40:43,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,12740,2413,-0.2,0.35
Anonymous,141814868,2021-03-10 13:39:39,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,276,296,-0.15,0.325
Luke Hunter Lischin,875133556275781633,2021-03-10 13:39:05,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,361,667,-0.2,0.35
BEDAZZLE,274859955,2021-03-10 13:38:08,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,40,501,-0.15,0.325
Harry Scoffin,16611761,2021-03-10 13:36:14,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,2305,4976,-0.2,0.35
Kang To 🇮🇩,1232850054425317379,2021-03-10 13:34:18,@HendroJenn @sadam_cahaya @rryaza @taufiqrus @jokowi @AgusYudhoyono Wong mumet...,0,None,2076,2131,0.0,0.0
Tse Yin Lee,1965612343,2021-03-10 13:33:43,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,646,1365,-0.2,0.35
Plploy 💛🇹🇭,313115795,2021-03-10 13:32:39,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,3199,1328,-0.2,0.35
ꦏꦫꦺꦴꦭ,39690181,2021-03-10 13:32:18,Jokowi and his minions https://t.co/WUNYhKwppU,0,None,1036,425,0.0,0.0
Ryan,899858227994566656,2021-03-10 13:31:49,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,145,175,-0.2,0.35
BBTA3-BPPT,994001632831537152,2021-03-10 13:30:42,"RT @IdTechnas: BPPT Urged to Strengthen Tech Innovation Ecosystems https://t.co/WBe6d9EyXP via @medcom_id 

President @jokowi during the 20...",11,None,222,100,0.0,0.0
dio vandi nugraha,81763217,2021-03-10 13:29:24,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,343,282,-0.15,0.325
Nile Bowie,106949417,2021-03-10 13:28:20,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,1858,1589,-0.2,0.35
⚔️ แม่มดฝึกหัดอาลี่ใจเกเรอยู่เยอรมัน ||| 🇩🇪,1374615798,2021-03-10 13:27:13,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,724,1522,-0.2,0.35
Ryn J.,61553631,2021-03-10 13:26:45,"RT @ZachAbuza: Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in #Indonesia's -...",12,SoutheastAsia,19730,1682,-0.2,0.35
Zachary Abuza,2243152405,2021-03-10 13:26:16,"Just when you thought democratic backsliding in #SoutheastAsia couldn't get any worse, political maneuvers in... https://t.co/ChlpanWRZl",12,SoutheastAsia,5382,640,-0.2,0.35
jokowi,2943170988,2021-03-10 13:25:44,CoinAwesome is one-click tipping ANY website. I love it.  #giveaway AZ8wQNetzYDwDMzwCTtdeSHbEj2SBqzia7,0,giveaway,11,9,0.5,0.6
Ga jualan,1053611394547863552,2021-03-10 13:24:45,RT @WidasSatyo: Mau bilang Pak Jokowi ini mirip Harvey Dent di Batman tapi kok ya kurang pantes. At least Harvey Dent had sense of moral an...,16,None,54,238,-0.15,0.325
